Tarea,Inicio,Fin
      Cargue de material de excavación,2024-09-14 07:00:00,2024-09-20 17:00:00
      Nivelación y colocación de cama de triturado para tuberia,2024-09-17 07:00:00,2024-09-24 17:00:00
      Instalación de tuberia,2024-09-21 07:00:00,2024-09-28 17:00:00
      Construcción de llenos,2024-09-25 07:00:00,2024-10-02 17:00:00
      Construcción de cajas de sifonadas,2024-10-01 07:00:00,2024-10-05 17:00:00
    Red de abastos (Edificio),2024-09-06 07:00:00,2024-09-22 17:00:00
      Retiros,2024-09-06 07:00:00,2024-09-12 17:00:00
      Instalación de tuberia a presión y accesorios,2024-09-13 07:00:00,2024-09-22 17:00:00
    Obras civiles,2024-09-17 07:00:00,2024-10-05 17:00:00
      Construcción de buitrones,2024-09-17 07:00:00,2024-09-21 17:00:00
      Instalación de cielo falso,2024-09-20 07:00:00,2024-09-23 17:00:00
      Csontrucción de mamposteria,2024-09-22 07:00:00,2024-09-28 17:00:00
      Construcción de revoque,2024-09-26 07:00:00,2024-09-30 17:00:00
      Construcción de enchape,2024-09-28 07:00:00,2024-10-02 17:00:00
      Resane y aplicación de pinturas,2024-10-01 07:00:00,2024-10-05 17:00:00
    FIN EJECUCIÓN - FASE 2,2024-10-05 17:00:00,2024-10-05 17:00:00
  FASE 3,2024-10-06 07:00:00,2024-12-04 17:00:00
    FASE 3-1,2024-10-06 07:00:00,2024-11-05 17:00:00
      Red de aguas lluvias (Externa),2024-10-06 07:00:00,2024-11-05 17:00:00
        Construcción de cerramientos,2024-10-06 07:00:00,2024-10-07 17:00:00
        Localización y replanteo,2024-10-08 07:00:00,2024-10-10 17:00:00
        Demoliciones y retiros,2024-10-08 07:00:00,2024-10-13 17:00:00
        Excavaciones y entibados,2024-10-10 07:00:00,2024-10-15 17:00:00
        Cargue de material de excavación,2024-10-13 07:00:00,2024-10-18 17:00:00
        Nivelación y colocación de cama de triturado para tuberia,2024-10-16 07:00:00,2024-10-23 17:00:00
        Instalación de tuberia,2024-10-19 07:00:00,2024-10-26 17:00:00
        Construcción de llenos,2024-10-21 07:00:00,2024-10-28 17:00:00
"        Construcción de camaras de inspección 1,20",2024-10-28 07:00:00,2024-11-01 17:00:00
        Construcción de sumideros,2024-11-02 07:00:00,2024-11-05 17:00:00
      Obras civiles,2024-10-14 07:00:00,2024-11-05 17:00:00
        Construcción de losas,2024-10-14 07:00:00,2024-10-26 17:00:00
        Construcción de andenes,2024-10-27 07:00:00,2024-11-05 17:00:00
      FIN EJECUCIÓN - FASE 3-1,2024-11-05 17:00:00,2024-11-05 17:00:00
    FASE 3-2,2024-11-06 07:00:00,2024-11-20 17:00:00
      Red de aguas lluvias - (Externa),2024-11-06 07:00:00,2024-11-20 17:00:00
        Construcción de cerramientos,2024-11-06 07:00:00,2024-11-06 17:00:00
        Localización y replanteo,2024-11-07 07:00:00,2024-11-07 17:00:00
        Demoliciones y retiros,2024-11-08 07:00:00,2024-11-10 17:00:00
        Excavaciones y entibados,2024-11-09 07:00:00,2024-11-11 17:00:00
        Cargue de material de excavación,2024-11-10 07:00:00,2024-11-12 17:00:00
        Nivelación y colocación de cama de triturado para tuberia,2024-11-11 07:00:00,2024-11-14 17:00:00
        Instalación de tuberia,2024-11-12 07:00:00,2024-11-15 17:00:00
        Construcción de llenos,2024-11-13 07:00:00,2024-11-16 17:00:00
"        Construcción de camaras de inspección 1,20",2024-11-15 07:00:00,2024-11-17 17:00:00
        Construcción de carcamos,2024-11-16 07:00:00,2024-11-20 17:00:00
      Red de abastos (Edificio a tanque),2024-11-06 07:00:00,2024-11-11 17:00:00
        Construcción de cerramientos,2024-11-06 07:00:00,2024-11-06 17:00:00
        Demoliciones y retiros,2024-11-07 07:00:00,2024-11-08 17:00:00
        Excavaciones y cargue,2024-11-08 07:00:00,2024-11-09 17:00:00
        Instalación de tuberia a presión y accesorios,2024-11-08 07:00:00,2024-11-10 17:00:00
        Construcción de llenos,2024-11-09 07:00:00,2024-11-11 17:00:00
      Estructura de tanques,2024-11-06 07:00:00,2024-11-14 17:00:00
        Construcción de cerramientos,2024-11-06 07:00:00,2024-11-06 17:00:00
        Demoliciones,2024-11-06 07:00:00,2024-11-07 17:00:00
        Excavaciones y entibados,2024-11-07 07:00:00,2024-11-08 17:00:00
        Cargue de material de excavación,2024-11-08 07:00:00,2024-11-09 17:00:00
        Construcción de llenos,2024-11-09 07:00:00,2024-11-10 17:00:00
        Construcción de estructura de tanques,2024-11-10 07:00:00,2024-11-14 17:00:00
      Tanques,2024-11-15 07:00:00,2024-11-20 17:00:00
        Construcción de sistema de bombeo,2024-11-15 07:00:00,2024-11-19 17:00:00
        Instalación de tanques de almcenamiento,2024-11-16 07:00:00,2024-11-20 17:00:00
      FIN EJECUCIÓN - FASE 3-2,2024-11-20 17:00:00,2024-11-20 17:00:00
    FASE 3-3,2024-11-21 07:00:00,2024-12-04 17:00:00
      Red de aguas lluvias (Externa),2024-11-21 07:00:00,2024-12-04 17:00:00
        Localización y replanteo,2024-11-21 07:00:00,2024-11-21 17:00:00
        Demoliciones y retiros,2024-11-22 07:00:00,2024-11-23 17:00:00
        Excavaciones y entibados,2024-11-23 07:00:00,2024-11-24 17:00:00
        Cargue de material de excavación,2024-11-24 07:00:00,2024-11-25 17:00:00
        Nivelación y colocación de cama de triturado para tuberia,2024-11-25 07:00:00,2024-11-28 17:00:00
        Instalación de tuberia,2024-11-26 07:00:00,2024-11-29 17:00:00
        Construcción de llenos,2024-11-27 07:00:00,2024-11-30 17:00:00
"        Construcción de camaras de inspección 1,20",2024-11-28 07:00:00,2024-12-01 17:00:00
        Construcción de sumideros,2024-12-02 07:00:00,2024-12-04 17:00:00
      Obras civiles,2024-11-21 07:00:00,2024-12-04 17:00:00
        Construcción de filtros,2024-11-21 07:00:00,2024-11-25 17:00:00
        Construcción de losas,2024-11-24 07:00:00,2024-11-28 17:00:00
        Construcción de andenes,2024-11-27 07:00:00,2024-12-01 17:00:00
        Instalación de de grama tipo macana,2024-12-01 07:00:00,2024-12-04 17:00:00
      FIN EJECUCIÓN - FASE 3-3,2024-12-04 17:00:00,2024-12-04 17:00:00
  FASE 4,2024-12-05 07:00:00,2024-12-18 17:00:00
    Pruebas y ensayos,2024-12-05 07:00:00,2024-12-09 17:00:00
    Construcción de carpeta asfaltica,2024-12-08 07:00:00,2024-12-12 17:00:00
    Señalización y demarcación vial,2024-12-13 07:00:00,2024-12-18 17:00:00
ACTIVIDADES TRANSVERSALES,2024-07-22 07:00:00,2024-12-17 17:00:00
  INVERSIÓN GESTIÓN SOCIAL Y COMUNICACIONES,2024-07-22 07:00:00,2024-12-17 17:00:00
  INVERSIÓN GESTIÓN AMBIENTAL,2024-07-22 07:00:00,2024-12-17 17:00:00
  INVERSIÓN SEGURIDAD Y SALUD EN EL TRABAJO,2024-07-22 07:00:00,2024-12-17 17:00:00
  PRESUPUESTO PLAN DE MANEJO DE TRANSITO,2024-07-22 07:00:00,2024-12-17 17:00:00
  POLIZAS,2024-07-22 07:00:00,2024-07-22 07:00:00
FIN DEL PROYECTO,2024-12-18 17:00:00,2024-12-18 17:00:00
